Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0095016,9,2025-12-14,"Die Hard","Die Hard",https://www.imdb.com/title/tt0095016,Movie,8.2,132,1988,"Thriller, Action",1010786,"1988-07-20","John McTiernan"
tt0119396,8,2025-12-14,"Jackie Brown","Jackie Brown",https://www.imdb.com/title/tt0119396,Movie,7.5,154,1997,"Drama, Crime, Thriller",398064,"1997-12-25","Quentin Tarantino"
tt0105236,10,2025-12-14,"Reservoir Dogs","Reservoir Dogs",https://www.imdb.com/title/tt0105236,Movie,8.3,99,1992,"Crime, Thriller",1155227,"1992-09-02","Quentin Tarantino"
tt0110912,10,2025-12-14,"Pulp Fiction","Pulp Fiction",https://www.imdb.com/title/tt0110912,Movie,8.8,154,1994,"Crime, Drama",2392683,"1994-10-14","Quentin Tarantino"
tt0097165,10,2025-12-14,"Dead Poets Society","Dead Poets Society",https://www.imdb.com/title/tt0097165,Movie,8.1,128,1989,"Comedy, Drama",626100,"1989-06-09","Peter Weir"
tt1262426,7,2025-12-14,"Wicked","Wicked: Part I",https://www.imdb.com/title/tt1262426,Movie,7.4,160,2024,"Musical, Fantasy, Romance",206793,"2024-11-22","Jon M. Chu"
tt19847976,6,2025-12-14,"Wicked: For Good","Wicked: For Good",https://www.imdb.com/title/tt19847976,Movie,7.0,137,2025,"Musical, Family, Fantasy, Romance",37573,"2025-11-21","Jon M. Chu"
tt0093779,7,2025-12-14,"The Princess Bride","The Princess Bride",https://www.imdb.com/title/tt0093779,Movie,8.0,98,1987,"Family, Comedy, Romance, Adventure, Fantasy",477052,"1987-10-09","Rob Reiner"
tt0113277,8,2025-12-14,"Heat","Heat",https://www.imdb.com/title/tt0113277,Movie,8.3,170,1995,"Drama, Action, Crime",783951,"1995-12-15","Michael Mann"
tt0369339,9,2025-12-14,"Collateral","Collateral",https://www.imdb.com/title/tt0369339,Movie,7.5,120,2004,"Crime, Thriller, Action, Drama",461068,"2004-08-06","Michael Mann"
