nconst,category,primaryName,birthYear,deathYear,num_movies,lead_roles,avg_rating,rating_stddev,total_votes,weighted_avg,movies_7plus,movies_8plus,pct_good,career_start,career_end,bayesian_rating,pct_bayesian,pct_great,pct_leads,pct_consistent,pct_popularity,composite_score
nm0000052,actor,Marcello Mastroianni,1924,1996,57,45,6.99,0.67,491074.0,7.56,34,5,59.6,1954,1996,6.84,0.9773869346733668,0.9529465509365007,0.9817268158976702,0.9506624029237094,0.4762448606669712,0.918
nm0719637,actor,Jeremy Renner,1971,\N,35,15,6.98,0.88,14904134.0,7.7,19,4,54.3,1995,2025,6.77,0.9611694837825491,0.9285061671996345,0.7864321608040201,0.9266788487894015,0.9965737779808131,0.9164
nm0262635,actor,Chris Evans,1981,\N,42,23,6.84,0.89,20312051.0,7.63,16,6,38.1,2001,2025,6.69,0.9246231155778895,0.9682503426222019,0.8965280950205573,0.7647327546825035,0.9990863407948835,0.9134
nm0000163,actor,Dustin Hoffman,1937,\N,51,34,6.8,0.78,5947781.0,7.29,23,3,45.1,1967,2024,6.68,0.9166285975331201,0.8910461397898584,0.9600274097761535,0.8497030607583371,0.9543170397441755,0.9126
nm0000148,actor,Harrison Ford,1942,\N,51,37,6.78,0.91,14426972.0,7.76,16,8,31.4,1967,2025,6.67,0.9090909090909091,0.9860666971219735,0.9698492462311558,0.650525354042942,0.996345363179534,0.9104
nm0000493,actor,Jack Lemmon,1925,2001,48,38,6.86,0.77,1692747.0,7.77,21,4,43.8,1954,1998,6.72,0.9408405664687072,0.9285061671996345,0.9719049794426678,0.8305162174508908,0.7574234810415715,0.9091
nm1421814,actor,Suriya,1975,\N,46,42,6.85,1.05,825231.0,7.8,21,7,45.7,1997,2025,6.71,0.9362722704431247,0.9803563270899954,0.9778437642759251,0.853129282777524,0.5943353129282778,0.9089
nm0000007,actor,Humphrey Bogart,1899,1957,62,50,7.0,0.64,1707756.0,7.98,35,2,56.5,1930,1956,6.86,0.9826404751027866,0.797396071265418,0.9890360895386021,0.9394700776610324,0.7594792142530836,0.9088
nm0000199,actor,Al Pacino,1940,\N,51,45,6.66,1.14,10606147.0,8.06,21,6,41.2,1971,2025,6.58,0.83074463225217,0.9682503426222019,0.9817268158976702,0.8053905893101873,0.9913202375513933,0.9076
nm0948000,actor,Cem Yilmaz,1973,\N,26,20,7.03,0.8,936746.0,7.33,16,5,61.5,1998,2023,6.76,0.959113750571037,0.9529465509365007,0.870031978072179,0.9593421653723161,0.6233439926907264,0.9062
nm4043618,actor,Tom Holland,1996,\N,21,13,7.05,0.85,8962285.0,7.77,12,4,57.1,2012,2022,6.73,0.94792142530836,0.9285061671996345,0.7414344449520329,0.940383736866149,0.9853814527181362,0.9044
nm0000375,actor,Robert Downey Jr.,1965,\N,63,39,6.63,1.1,22607695.0,7.72,26,7,41.3,1984,2023,6.56,0.808588396528095,0.9803563270899954,0.9732754682503426,0.8120146185472819,0.9995431703974418,0.9041
nm0000380,actor,Robert Duvall,1931,\N,65,34,6.69,0.85,7162148.0,8.24,26,5,40.0,1963,2022,6.61,0.862494289629968,0.9529465509365007,0.9600274097761535,0.782549109182275,0.9712197350388305,0.9035
nm0000307,actress,Helena Bonham Carter,1966,\N,41,21,6.88,0.64,8241411.0,7.56,17,3,41.5,1985,2023,6.72,0.9408405664687072,0.8910461397898584,0.8775696665143902,0.8124714481498401,0.979442667884879,0.9003
nm0331516,actor,Ryan Gosling,1980,\N,26,21,6.99,0.68,7716546.0,7.4,15,2,57.7,2001,2024,6.73,0.94792142530836,0.797396071265418,0.8775696665143902,0.9431247144814984,0.9760164458656921,0.8983
nm1165110,actor,Chris Hemsworth,1983,\N,28,20,6.81,0.9,11818255.0,7.45,13,4,46.4,2009,2024,6.63,0.8796253997259023,0.9285061671996345,0.870031978072179,0.8583828232069438,0.9938328003654637,0.8982
nm0350453,actor,Jake Gyllenhaal,1980,\N,39,30,6.88,0.71,10070299.0,7.34,18,2,46.2,1993,2024,6.72,0.9408405664687072,0.797396071265418,0.9410689812699863,0.8572407492005482,0.9892645043398812,0.8973
nm0001618,actor,Joaquin Phoenix,1974,\N,39,32,6.84,0.85,7545324.0,7.69,11,6,28.2,1986,2025,6.69,0.9246231155778895,0.9682503426222019,0.9504339881224303,0.592964824120603,0.9751027866605756,0.896
nm0897201,actor,Joseph Vijay,1974,\N,70,65,6.63,1.34,1076320.0,6.91,36,10,51.4,1992,2024,6.57,0.8204659661946094,0.9931475559616263,0.996345363179534,0.907035175879397,0.6589767016902696,0.8956
