Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0217869,8,2025-12-14,"Unbreakable","Unbreakable",https://www.imdb.com/title/tt0217869,Movie,7.3,106,2000,"Mystery, Drama, Sci-Fi, Thriller",463333,"2000-11-22","M. Night Shyamalan"
tt0167404,9,2025-12-14,"The Sixth Sense","The Sixth Sense",https://www.imdb.com/title/tt0167404,Movie,8.2,107,1999,"Mystery, Drama, Thriller",1126319,"1999-08-06","M. Night Shyamalan"
tt21192142,8,2025-12-14,"All of Us Strangers","All of Us Strangers",https://www.imdb.com/title/tt21192142,Movie,7.6,105,2023,"Drama, Romance",76060,"2023-12-22","Andrew Haigh"
tt0449059,9,2025-12-14,"Little Miss Sunshine","Little Miss Sunshine",https://www.imdb.com/title/tt0449059,Movie,7.8,101,2006,"Comedy, Drama",549680,"2006-08-18","Jonathan Dayton,Valerie Faris"
tt0090605,8,2025-12-14,"Aliens","Aliens",https://www.imdb.com/title/tt0090605,Movie,8.4,137,1986,"Thriller, Action, Horror, Sci-Fi, Adventure",830493,"1986-07-18","James Cameron"
tt0078748,9,2025-12-14,"Alien","Alien",https://www.imdb.com/title/tt0078748,Movie,8.5,117,1979,"Horror, Sci-Fi",1047464,"1979-06-22","Ridley Scott"
tt0083866,8,2025-12-14,"E.T. the Extra-Terrestrial","E.T. the Extra-Terrestrial",https://www.imdb.com/title/tt0083866,Movie,7.9,115,1982,"Adventure, Sci-Fi, Family",464733,"1982-06-11","Steven Spielberg"
tt5950044,7,2025-12-14,"Superman","Superman",https://www.imdb.com/title/tt5950044,Movie,7.1,129,2025,"Action, Adventure, Sci-Fi",362969,"2025-07-11","James Gunn"
tt19847976,5,2025-12-14,"Wicked: For Good","Wicked: For Good",https://www.imdb.com/title/tt19847976,Movie,7.0,137,2025,"Musical, Family, Fantasy, Romance",38212,"2025-11-21","Jon M. Chu"
tt1302006,6,2025-12-14,"The Irishman","The Irishman",https://www.imdb.com/title/tt1302006,Movie,7.8,209,2019,"Crime, Drama, Biography, History, Thriller",464236,"2019-11-27","Martin Scorsese"
tt0108550,10,2025-12-14,"What's Eating Gilbert Grape","What's Eating Gilbert Grape",https://www.imdb.com/title/tt0108550,Movie,7.7,118,1993,"Drama",266346,"1994-03-04","Lasse Hallström"
tt0101540,9,2025-12-14,"Cape Fear","Cape Fear",https://www.imdb.com/title/tt0101540,Movie,7.3,128,1991,"Drama, Crime, Thriller",237903,"1991-11-15","Martin Scorsese"
tt0103064,9,2025-12-14,"Terminator 2: Judgment Day","Terminator 2: Judgment Day",https://www.imdb.com/title/tt0103064,Movie,8.6,137,1991,"Adventure, Sci-Fi, Action",1264953,"1991-07-03","James Cameron"
tt0088247,8,2025-12-14,"The Terminator","The Terminator",https://www.imdb.com/title/tt0088247,Movie,8.1,107,1984,"Action, Adventure, Sci-Fi",987619,"1984-10-26","James Cameron"
tt0086879,9,2025-12-14,"Amadeus","Amadeus",https://www.imdb.com/title/tt0086879,Movie,8.4,160,1984,"Drama, Music, Biography",461771,"1984-09-19","Milos Forman"
tt0125439,9,2025-12-14,"Notting Hill","Notting Hill",https://www.imdb.com/title/tt0125439,Movie,7.2,124,1999,"Drama, Romance, Comedy",376484,"1999-05-28","Roger Michell"
tt0107048,8,2025-12-14,"Groundhog Day","Groundhog Day",https://www.imdb.com/title/tt0107048,Movie,8.0,101,1993,"Fantasy, Drama, Romance, Comedy",729720,"1993-02-12","Harold Ramis"
tt0105323,9,2025-12-14,"Scent of a Woman","Scent of a Woman",https://www.imdb.com/title/tt0105323,Movie,8.0,156,1992,"Drama",362238,"1993-01-08","Martin Brest"
tt0098936,8,2025-12-14,"Twin Peaks","Twin Peaks",https://www.imdb.com/title/tt0098936,TV Series,8.7,50,1990,"Thriller, Crime, Drama, Mystery",240308,"1990-04-08",
tt0112864,8,2025-12-14,"Die Hard with a Vengeance","Die Hard with a Vengeance",https://www.imdb.com/title/tt0112864,Movie,7.6,128,1995,"Adventure, Thriller, Action",426235,"1995-05-19","John McTiernan"
tt0830515,7,2025-12-14,"Quantum of Solace","Quantum of Solace",https://www.imdb.com/title/tt0830515,Movie,6.5,106,2008,"Action, Adventure, Thriller, Mystery",490715,"2008-11-14","Marc Forster"
tt2379713,7,2025-12-14,"Spectre","Spectre",https://www.imdb.com/title/tt2379713,Movie,6.8,148,2015,"Adventure, Thriller, Action",489193,"2015-11-06","Sam Mendes"
tt2382320,8,2025-12-14,"No Time to Die","No Time to Die",https://www.imdb.com/title/tt2382320,Movie,7.3,163,2021,"Action, Thriller, Adventure",477340,"2021-10-08","Cary Joji Fukunaga"
tt1074638,9,2025-12-14,"Skyfall","Skyfall",https://www.imdb.com/title/tt1074638,Movie,7.8,143,2012,"Action, Thriller, Adventure",763313,"2012-11-09","Sam Mendes"
tt0381061,9,2025-12-14,"Casino Royale","Casino Royale",https://www.imdb.com/title/tt0381061,Movie,8.0,144,2006,"Thriller, Action, Adventure",732648,"2006-11-17","Martin Campbell"
tt0440963,9,2025-12-14,"The Bourne Ultimatum","The Bourne Ultimatum",https://www.imdb.com/title/tt0440963,Movie,8.0,115,2007,"Action, Thriller, Mystery",678384,"2007-08-03","Paul Greengrass"
tt0372183,9,2025-12-14,"The Bourne Supremacy","The Bourne Supremacy",https://www.imdb.com/title/tt0372183,Movie,7.7,108,2004,"Thriller, Action, Mystery",507337,"2004-07-23","Paul Greengrass"
tt0258463,10,2025-12-14,"The Bourne Identity","The Bourne Identity",https://www.imdb.com/title/tt0258463,Movie,7.8,119,2002,"Mystery, Thriller, Action",605557,"2002-06-14","Doug Liman"
tt3659388,9,2025-12-14,"The Martian","The Martian",https://www.imdb.com/title/tt3659388,Movie,8.0,144,2015,"Sci-Fi, Adventure, Drama",989931,"2015-10-02","Ridley Scott"
